#Submissions
#Id, Title, Authors, E-mail, Primary, Secondary
31, "The Eternal Wheel of Reincarnation", Ralph Kholer, kholer@gmail.com, 3, 4
87, "GoDiva: A PIM Architecture", Jeff Draper, draper@usc.edu, 1, 
102, "AI in Modern Agriculture", Sarah Chen, schen@mit.edu, 2, 3
#
#Reviewers
#Id, Name, E-mail, Primary, Secondary
1, "Jaqueline N. Chame", jchame@yahoo.com, 1, 
2, "Mary W. Hall", mhall@hotmail.edu, 3, 4
3, "Robert Smith", rsmith@cambridge.edu, 2, 
4, "Alice Wong", awong@stanford.edu, 1, 2
#
#Parameters
MinReviewsPerSubmission, 2
MaxReviewsPerReviewer, 3
PrimaryReviewerExpertise, 1
SecondaryReviewerExpertise, 1
PrimarySubmissionDomain, 1
SecondarySubmissionDomain, 1
#
#Control
GenerateAssignments, 1
RiskAnalysis, 0
OutputFileName, "assign.csv"
